x,y,PROVINCE_CODE,CLIMATE_IDENTIFIER,MEAN_TEMPERATURE_FLAG,HEATING_DEGREE_DAYS_FLAG,SNOW_ON_GROUND,MAX_REL_HUMIDITY_FLAG,MIN_TEMPERATURE_FLAG,STATION_NAME,MEAN_TEMPERATURE,DIRECTION_MAX_GUST_FLAG,MIN_REL_HUMIDITY,MAX_REL_HUMIDITY,LOCAL_MONTH,MIN_REL_HUMIDITY_FLAG,DIRECTION_MAX_GUST,TOTAL_SNOW_FLAG,LOCAL_YEAR,LOCAL_DATE,ID,MAX_TEMPERATURE_FLAG,LOCAL_DAY,SPEED_MAX_GUST,SNOW_ON_GROUND_FLAG,TOTAL_SNOW,HEATING_DEGREE_DAYS,SPEED_MAX_GUST_FLAG,COOLING_DEGREE_DAYS_FLAG,TOTAL_PRECIPITATION_FLAG,TOTAL_PRECIPITATION,TOTAL_RAIN,TOTAL_RAIN_FLAG,MAX_TEMPERATURE,COOLING_DEGREE_DAYS,MIN_TEMPERATURE
-117.86666666666666,53.35,AB,3060903,M,M,0,,,BRULE BLACK CAT,,,,,6,,,,2013,2013-06-03 00:00:00,3060903.2013.6.3,M,3,,,0,,,M,,9.6,9.6,,,,7.5
-117.86666666666666,53.35,AB,3060903,,,0,,,BRULE BLACK CAT,11.5,,,,6,,,,2013,2013-06-04 00:00:00,3060903.2013.6.4,,4,,,0,6.5,,,,0,0,,22,0,1
-117.86666666666666,53.35,AB,3060903,,,0,,,BRULE BLACK CAT,14,,,,6,,,,2013,2013-06-05 00:00:00,3060903.2013.6.5,,5,,,0,4,,,,0.8,0.8,,20.5,0,7.5
-117.86666666666666,53.35,AB,3060903,,,0,,,BRULE BLACK CAT,11.3,,,,6,,,,2013,2013-06-06 00:00:00,3060903.2013.6.6,,6,,,0,6.7,,,,0.6,0.6,,22.5,0,0
-117.86666666666666,53.35,AB,3060903,,,0,,,BRULE BLACK CAT,13.3,,,,6,,,,2013,2013-06-07 00:00:00,3060903.2013.6.7,,7,,,0,4.7,,,,6.2,6.2,,17,0,9.5
-117.86666666666666,53.35,AB,3060903,,,0,,,BRULE BLACK CAT,10,,,,6,,,,2013,2013-06-08 00:00:00,3060903.2013.6.8,,8,,,0,8,,,,0.8,0.8,,17,0,3
-117.86666666666666,53.35,AB,3060903,M,M,0,,,BRULE BLACK CAT,,,,,6,,,,2013,2013-06-09 00:00:00,3060903.2013.6.9,M,9,,,,,,M,,,,,,,2.5
-117.86666666666666,53.35,AB,3060903,M,M,,,M,BRULE BLACK CAT,,,,,6,,,,2013,2013-06-19 00:00:00,3060903.2013.6.19,M,19,,,0,,,M,,54,54,,,,
-117.86666666666666,53.35,AB,3060903,M,M,,,M,BRULE BLACK CAT,,,,,6,,,,2013,2013-06-20 00:00:00,3060903.2013.6.20,M,20,,M,0,,,M,,1,1,,,,
-117.86666666666666,53.35,AB,3060903,,,0,,,BRULE BLACK CAT,14,,,,6,,,,2013,2013-06-21 00:00:00,3060903.2013.6.21,,21,,,0,4,,,,0,0,,19,0,9
-117.86666666666666,53.35,AB,3060903,,,0,,,BRULE BLACK CAT,14.3,,,,6,,,,2013,2013-06-22 00:00:00,3060903.2013.6.22,,22,,,0,3.7,,,,0,0,,23,0,5.5
-117.86666666666666,53.35,AB,3060903,,,0,,,BRULE BLACK CAT,14.3,,,,6,,,,2013,2013-06-23 00:00:00,3060903.2013.6.23,,23,,,0,3.7,,,,6.8,6.8,,22.5,0,6
-117.86666666666666,53.35,AB,3060903,,,0,,,BRULE BLACK CAT,14.3,,,,6,,,,2013,2013-06-24 00:00:00,3060903.2013.6.24,,24,,,0,3.7,,,T,0,0,T,22,0,6.5
-117.86666666666666,53.35,AB,3060903,,,0,,,BRULE BLACK CAT,15.5,,,,6,,,,2013,2013-06-25 00:00:00,3060903.2013.6.25,,25,,,0,2.5,,,T,0,0,T,21,0,10
-117.86666666666666,53.35,AB,3060903,,,0,,,BRULE BLACK CAT,15.3,,,,6,,,,2013,2013-06-26 00:00:00,3060903.2013.6.26,,26,,,0,2.7,,,,0,0,,22.5,0,8
-117.86666666666666,53.35,AB,3060903,,,0,,,BRULE BLACK CAT,14.5,,,,6,,,,2013,2013-06-27 00:00:00,3060903.2013.6.27,,27,,,0,3.5,,,,0,0,,22.5,0,6.5
-117.86666666666666,53.35,AB,3060903,,,0,,,BRULE BLACK CAT,14.8,,,,6,,,,2013,2013-06-28 00:00:00,3060903.2013.6.28,,28,,,0,3.2,,,,0,0,,23,0,6.5
-117.86666666666666,53.35,AB,3060903,,,0,,,BRULE BLACK CAT,17.3,,,,6,,,,2013,2013-06-29 00:00:00,3060903.2013.6.29,,29,,,0,0.7,,,,0,0,,24.5,0,10
-117.86666666666666,53.35,AB,3060903,,,0,,,BRULE BLACK CAT,19,,,,6,,,,2013,2013-06-30 00:00:00,3060903.2013.6.30,,30,,,0,0,,,,0,0,,30,1,8
-117.86666666666666,53.35,AB,3060903,,,0,,,BRULE BLACK CAT,20.8,,,,7,,,,2013,2013-07-01 00:00:00,3060903.2013.7.1,,1,,,0,0,,,,0,0,,33,2.8,8.5
-117.86666666666666,53.35,AB,3060903,,,0,,,BRULE BLACK CAT,19.5,,,,7,,,,2013,2013-07-02 00:00:00,3060903.2013.7.2,,2,,,0,0,,,,19,19,,26.5,1.5,12.5
-117.86666666666666,53.35,AB,3060903,,,0,,,BRULE BLACK CAT,19.5,,,,7,,,,2013,2013-07-03 00:00:00,3060903.2013.7.3,,3,,,0,0,,,,0,0,,26.5,1.5,12.5
-117.86666666666666,53.35,AB,3060903,,,0,,,BRULE BLACK CAT,15.8,,,,7,,,,2013,2013-07-04 00:00:00,3060903.2013.7.4,,4,,,0,2.2,,,,1,1,,23,0,8.5
-117.86666666666666,53.35,AB,3060903,,,0,,,BRULE BLACK CAT,13,,,,7,,,,2013,2013-07-05 00:00:00,3060903.2013.7.5,,5,,,0,5,,,,5.2,5.2,,19.5,0,6.5
-117.86666666666666,53.35,AB,3060903,,,0,,,BRULE BLACK CAT,11.5,,,,7,,,,2013,2013-07-06 00:00:00,3060903.2013.7.6,,6,,,0,6.5,,,,8.6,8.6,,15,0,8
-117.86666666666666,53.35,AB,3060903,,,0,,,BRULE BLACK CAT,14.3,,,,7,,,,2013,2013-07-07 00:00:00,3060903.2013.7.7,,7,,,0,3.7,,,,0.2,0.2,,20,0,8.5
-117.86666666666666,53.35,AB,3060903,,,0,,,BRULE BLACK CAT,16.3,,,,7,,,,2013,2013-07-08 00:00:00,3060903.2013.7.8,,8,,,0,1.7,,,,0.2,0.2,,26.5,0,6
-117.86666666666666,53.35,AB,3060903,,,0,,,BRULE BLACK CAT,17.8,,,,7,,,,2013,2013-07-09 00:00:00,3060903.2013.7.9,,9,,,0,0.2,,,,0.1,0.1,,25.5,0,10
-117.86666666666666,53.35,AB,3060903,,,0,,,BRULE BLACK CAT,17.8,,,,7,,,,2013,2013-07-10 00:00:00,3060903.2013.7.10,,10,,,0,0.2,,,,12.2,12.2,,26,0,9.5
-117.86666666666666,53.35,AB,3060903,,,0,,,BRULE BLACK CAT,12.5,,,,7,,,,2013,2013-07-11 00:00:00,3060903.2013.7.11,,11,,,0,5.5,,,,7.2,7.2,,15.5,0,9.5
-117.86666666666666,53.35,AB,3060903,,,0,,,BRULE BLACK CAT,9,,,,7,,,,2013,2013-07-12 00:00:00,3060903.2013.7.12,,12,,,0,9,,,,0,0,,16,0,2
-117.86666666666666,53.35,AB,3060903,,,0,,,BRULE BLACK CAT,8.8,,,,7,,,,2013,2013-07-13 00:00:00,3060903.2013.7.13,,13,,,0,9.2,,,,0.6,0.6,,16.5,0,1
-117.86666666666666,53.35,AB,3060903,,,0,,,BRULE BLACK CAT,8.3,,,,7,,,,2013,2013-07-14 00:00:00,3060903.2013.7.14,,14,,,0,9.7,,,,13.4,13.4,,15.5,0,1
-117.86666666666666,53.35,AB,3060903,,,0,,,BRULE BLACK CAT,12.5,,,,7,,,,2013,2013-07-15 00:00:00,3060903.2013.7.15,,15,,,0,5.5,,,,0,0,,18,0,7
-117.86666666666666,53.35,AB,3060903,,,0,,,BRULE BLACK CAT,13,,,,7,,,,2013,2013-07-16 00:00:00,3060903.2013.7.16,,16,,,0,5,,,,0,0,,24.5,0,1.5
-117.86666666666666,53.35,AB,3060903,,,0,,,BRULE BLACK CAT,16,,,,7,,,,2013,2013-07-17 00:00:00,3060903.2013.7.17,,17,,,0,2,,,,0,0,,26.5,0,5.5
-117.86666666666666,53.35,AB,3060903,M,M,0,,,BRULE BLACK CAT,,,,,7,,,,2013,2013-07-18 00:00:00,3060903.2013.7.18,M,18,,,,,,M,,,,,,,9
-117.86666666666666,53.35,AB,3060903,M,M,,,M,BRULE BLACK CAT,,,,,7,,,,2013,2013-07-21 00:00:00,3060903.2013.7.21,,21,,,0,,,M,,0.6,0.6,,27.5,,
-117.86666666666666,53.35,AB,3060903,M,M,0,,M,BRULE BLACK CAT,,,,,7,,,,2013,2013-07-22 00:00:00,3060903.2013.7.22,,22,,,0,,,M,,0.4,0.4,,23,,
-117.86666666666666,53.35,AB,3060903,,,0,,,BRULE BLACK CAT,16.5,,,,7,,,,2013,2013-07-23 00:00:00,3060903.2013.7.23,,23,,,0,1.5,,,,1.2,1.2,,24,0,9
-117.86666666666666,53.35,AB,3060903,,,0,,,BRULE BLACK CAT,19,,,,7,,,,2013,2013-07-24 00:00:00,3060903.2013.7.24,,24,,,0,0,,,,0,0,,25,1,13
-117.86666666666666,53.35,AB,3060903,,,0,,,BRULE BLACK CAT,18,,,,7,,,,2013,2013-07-25 00:00:00,3060903.2013.7.25,,25,,,0,0,,,,0,0,,21.5,0,14.5
-117.86666666666666,53.35,AB,3060903,,,0,,,BRULE BLACK CAT,19.5,,,,7,,,,2013,2013-07-26 00:00:00,3060903.2013.7.26,,26,,,0,0,,,,9.8,9.8,,25,1.5,14
-117.86666666666666,53.35,AB,3060903,,,0,,,BRULE BLACK CAT,14.3,,,,7,,,,2013,2013-07-27 00:00:00,3060903.2013.7.27,,27,,,0,3.7,,,,3.6,3.6,,18.5,0,10
-117.86666666666666,53.35,AB,3060903,,,0,,,BRULE BLACK CAT,10.3,,,,7,,,,2013,2013-07-28 00:00:00,3060903.2013.7.28,,28,,,0,7.7,,,,1.2,1.2,,15,0,5.5
-117.86666666666666,53.35,AB,3060903,,,0,,,BRULE BLACK CAT,10.5,,,,7,,,,2013,2013-07-29 00:00:00,3060903.2013.7.29,,29,,,0,7.5,,,,6,6,,16.5,0,4.5
-117.86666666666666,53.35,AB,3060903,,,0,,,BRULE BLACK CAT,13,,,,7,,,,2013,2013-07-30 00:00:00,3060903.2013.7.30,,30,,,0,5,,,,0,0,,21.5,0,4.5
-117.86666666666666,53.35,AB,3060903,,,0,,,BRULE BLACK CAT,14.8,,,,7,,,,2013,2013-07-31 00:00:00,3060903.2013.7.31,,31,,,0,3.2,,,,1,1,,24.5,0,5
-117.86666666666666,53.35,AB,3060903,,,0,,,BRULE BLACK CAT,16.3,,,,8,,,,2013,2013-08-01 00:00:00,3060903.2013.8.1,,1,,,0,1.7,,,,0,0,,25,0,7.5
-117.86666666666666,53.35,AB,3060903,,,0,,,BRULE BLACK CAT,16,,,,8,,,,2013,2013-08-02 00:00:00,3060903.2013.8.2,,2,,,0,2,,,,0,0,,25,0,7
-117.86666666666666,53.35,AB,3060903,,,0,,,BRULE BLACK CAT,15.3,,,,8,,,,2013,2013-08-03 00:00:00,3060903.2013.8.3,,3,,,0,2.7,,,,2,2,,24,0,6.5
-117.86666666666666,53.35,AB,3060903,,,0,,,BRULE BLACK CAT,13.5,,,,8,,,,2013,2013-08-04 00:00:00,3060903.2013.8.4,,4,,,0,4.5,,,,1.2,1.2,,20,0,7
-117.86666666666666,53.35,AB,3060903,,,0,,,BRULE BLACK CAT,15.5,,,,8,,,,2013,2013-08-05 00:00:00,3060903.2013.8.5,,5,,,0,2.5,,,,0,0,,25,0,6
-117.86666666666666,53.35,AB,3060903,M,M,0,,,BRULE BLACK CAT,,,,,8,,,,2013,2013-08-06 00:00:00,3060903.2013.8.6,M,6,,,,,,M,,,,,,,7.5
-117.86666666666666,53.35,AB,3060903,M,M,,,M,BRULE BLACK CAT,,,,,8,,,,2013,2013-08-08 00:00:00,3060903.2013.8.8,,8,,,0,,,M,,0.4,0.4,,17,,
-117.86666666666666,53.35,AB,3060903,M,M,0,,,BRULE BLACK CAT,,,,,8,,,,2013,2013-08-09 00:00:00,3060903.2013.8.9,M,9,,,0,,,M,,0,0,,,,12
-117.86666666666666,53.35,AB,3060903,,,0,,,BRULE BLACK CAT,17.5,,,,8,,,,2013,2013-08-10 00:00:00,3060903.2013.8.10,,10,,,0,0.5,,,,0.2,0.2,,27,0,8
-117.86666666666666,53.35,AB,3060903,,,0,,,BRULE BLACK CAT,18.8,,,,8,,,,2013,2013-08-11 00:00:00,3060903.2013.8.11,,11,,,0,0,,,,16.6,16.6,,26.5,0.8,11
-117.86666666666666,53.35,AB,3060903,,,0,,,BRULE BLACK CAT,16.8,,,,8,,,,2013,2013-08-12 00:00:00,3060903.2013.8.12,,12,,,0,1.2,,,,5.4,5.4,,23.5,0,10
-117.86666666666666,53.35,AB,3060903,,,0,,,BRULE BLACK CAT,18,,,,8,,,,2013,2013-08-13 00:00:00,3060903.2013.8.13,,13,,,0,0,,,,0,0,,26,0,10
-117.86666666666666,53.35,AB,3060903,,,0,,,BRULE BLACK CAT,15.5,,,,8,,,,2013,2013-08-14 00:00:00,3060903.2013.8.14,,14,,,0,2.5,,,,0.4,0.4,,24,0,7
-117.86666666666666,53.35,AB,3060903,,,0,,,BRULE BLACK CAT,19,,,,8,,,,2013,2013-08-15 00:00:00,3060903.2013.8.15,,15,,,0,0,,,,1,1,,26.5,1,11.5
-117.86666666666666,53.35,AB,3060903,,,0,,,BRULE BLACK CAT,18.5,,,,8,,,,2013,2013-08-16 00:00:00,3060903.2013.8.16,,16,,,0,0,,,,0,0,,24.5,0.5,12.5
-117.86666666666666,53.35,AB,3060903,,,0,,,BRULE BLACK CAT,16.8,,,,8,,,,2013,2013-08-17 00:00:00,3060903.2013.8.17,,17,,,0,1.2,,,,0,0,,23.5,0,10
-117.86666666666666,53.35,AB,3060903,,,0,,,BRULE BLACK CAT,15.3,,,,8,,,,2013,2013-08-18 00:00:00,3060903.2013.8.18,,18,,,0,2.7,,,,0.4,0.4,,22,0,8.5
-117.86666666666666,53.35,AB,3060903,,,0,,,BRULE BLACK CAT,13.3,,,,8,,,,2013,2013-08-19 00:00:00,3060903.2013.8.19,,19,,,0,4.7,,,,6,6,,19.5,0,7
-117.86666666666666,53.35,AB,3060903,,,0,,,BRULE BLACK CAT,10,,,,8,,,,2013,2013-08-20 00:00:00,3060903.2013.8.20,,20,,,0,8,,,T,0,0,T,19,0,1
-117.86666666666666,53.35,AB,3060903,,,0,,,BRULE BLACK CAT,11.5,,,,8,,,,2013,2013-08-21 00:00:00,3060903.2013.8.21,,21,,,0,6.5,,,,0,0,,22,0,1
-117.86666666666666,53.35,AB,3060903,,,0,,,BRULE BLACK CAT,15.8,,,,8,,,,2013,2013-08-22 00:00:00,3060903.2013.8.22,,22,,,0,2.2,,,,0,0,,27,0,4.5
-117.86666666666666,53.35,AB,3060903,,,0,,,BRULE BLACK CAT,14.8,,,,8,,,,2013,2013-08-23 00:00:00,3060903.2013.8.23,,23,,,0,3.2,,,,0,0,,23.5,0,6
-117.86666666666666,53.35,AB,3060903,,,0,,,BRULE BLACK CAT,16.5,,,,8,,,,2013,2013-08-24 00:00:00,3060903.2013.8.24,,24,,,0,1.5,,,T,0,0,T,24.5,0,8.5
-117.86666666666666,53.35,AB,3060903,,,0,,,BRULE BLACK CAT,16,,,,8,,,,2013,2013-08-25 00:00:00,3060903.2013.8.25,,25,,,0,2,,,,0,0,,23,0,9
-117.86666666666666,53.35,AB,3060903,,,0,,,BRULE BLACK CAT,14.3,,,,8,,,,2013,2013-08-26 00:00:00,3060903.2013.8.26,,26,,,0,3.7,,,,1.2,1.2,,20,0,8.5
-117.86666666666666,53.35,AB,3060903,,,0,,,BRULE BLACK CAT,13,,,,8,,,,2013,2013-08-27 00:00:00,3060903.2013.8.27,,27,,,0,5,,,T,0,0,T,20,0,6
-117.86666666666666,53.35,AB,3060903,,,0,,,BRULE BLACK CAT,13.3,,,,8,,,,2013,2013-08-28 00:00:00,3060903.2013.8.28,,28,,,0,4.7,,,,0,0,,22,0,4.5
-117.86666666666666,53.35,AB,3060903,,,0,,,BRULE BLACK CAT,11.8,,,,8,,,,2013,2013-08-29 00:00:00,3060903.2013.8.29,,29,,,0,6.2,,,,0,0,,18.5,0,5
-117.86666666666666,53.35,AB,3060903,,,0,,,BRULE BLACK CAT,15.5,,,,8,,,,2013,2013-08-30 00:00:00,3060903.2013.8.30,,30,,,0,2.5,,,T,0,0,T,21.5,0,9.5
-117.86666666666666,53.35,AB,3060903,,,0,,,BRULE BLACK CAT,15.8,,,,8,,,,2013,2013-08-31 00:00:00,3060903.2013.8.31,,31,,,0,2.2,,,,0,0,,23,0,8.5
-117.86666666666666,53.35,AB,3060903,,,0,,,BRULE BLACK CAT,14.5,,,,9,,,,2013,2013-09-01 00:00:00,3060903.2013.9.1,,1,,,0,3.5,,,,0,0,,26,0,3
-117.86666666666666,53.35,AB,3060903,,,0,,,BRULE BLACK CAT,17.5,,,,9,,,,2013,2013-09-02 00:00:00,3060903.2013.9.2,,2,,,0,0.5,,,,0,0,,29,0,6
-117.86666666666666,53.35,AB,3060903,,,0,,,BRULE BLACK CAT,16.5,,,,9,,,,2013,2013-09-03 00:00:00,3060903.2013.9.3,,3,,,0,1.5,,,,0,0,,26,0,7
-117.86666666666666,53.35,AB,3060903,,,0,,,BRULE BLACK CAT,17.5,,,,9,,,,2013,2013-09-04 00:00:00,3060903.2013.9.4,,4,,,0,0.5,,,,0,0,,26.5,0,8.5
-117.86666666666666,53.35,AB,3060903,,,0,,,BRULE BLACK CAT,16.5,,,,9,,,,2013,2013-09-05 00:00:00,3060903.2013.9.5,,5,,,0,1.5,,,,2,2,,27.5,0,5.5
-117.86666666666666,53.35,AB,3060903,,,0,,,BRULE BLACK CAT,13.8,,,,9,,,,2013,2013-09-06 00:00:00,3060903.2013.9.6,,6,,,0,4.2,,,,3.2,3.2,,15,0,12.5
-117.86666666666666,53.35,AB,3060903,M,M,0,,,BRULE BLACK CAT,,,,,9,,,,2013,2013-09-07 00:00:00,3060903.2013.9.7,M,7,,,,,,M,,,,,,,11
-117.86666666666666,53.35,AB,3060903,M,M,,,M,BRULE BLACK CAT,,,,,9,,,,2013,2013-09-08 00:00:00,3060903.2013.9.8,,8,,,0,,,M,,0,0,,26.5,,
-117.86666666666666,53.35,AB,3060903,,,0,,,BRULE BLACK CAT,15,,,,9,,,,2013,2013-09-09 00:00:00,3060903.2013.9.9,,9,,,0,3,,,,0,0,,25,0,5
-117.86666666666666,53.35,AB,3060903,,,0,,,BRULE BLACK CAT,13,,,,9,,,,2013,2013-09-10 00:00:00,3060903.2013.9.10,,10,,,0,5,,,,0,0,,24.5,0,1.5
-117.86666666666666,53.35,AB,3060903,M,M,0,,,BRULE BLACK CAT,,,,,9,,,,2013,2013-09-11 00:00:00,3060903.2013.9.11,M,11,,,,,,M,,,,,,,2.5
-117.86666666666666,53.35,AB,3060903,M,M,,,M,BRULE BLACK CAT,,,,,9,,,,2013,2013-09-12 00:00:00,3060903.2013.9.12,,12,,,0,,,M,,0,0,,30.5,,
-117.86666666666666,53.35,AB,3060903,,,0,,,BRULE BLACK CAT,16.8,,,,9,,,,2013,2013-09-13 00:00:00,3060903.2013.9.13,,13,,,0,1.2,,,,0,0,,27.5,0,6
-117.86666666666666,53.35,AB,3060903,,,0,,,BRULE BLACK CAT,16,,,,9,,,,2013,2013-09-14 00:00:00,3060903.2013.9.14,,14,,,0,2,,,,0,0,,25,0,7
-117.86666666666666,53.35,AB,3060903,,,0,,,BRULE BLACK CAT,17,,,,9,,,,2013,2013-09-15 00:00:00,3060903.2013.9.15,,15,,,0,1,,,,0,0,,28.5,0,5.5
-117.86666666666666,53.35,AB,3060903,,,0,,,BRULE BLACK CAT,17.3,,,,9,,,,2013,2013-09-16 00:00:00,3060903.2013.9.16,,16,,,0,0.7,,,T,0,0,T,24,0,10.5
-117.86666666666666,53.35,AB,3060903,,,0,,,BRULE BLACK CAT,10.5,,,,9,,,,2013,2013-09-17 00:00:00,3060903.2013.9.17,,17,,,0,7.5,,,,0,0,,18.5,0,2.5
-117.86666666666666,53.35,AB,3060903,,,0,,,BRULE BLACK CAT,10.5,,,,9,,,,2013,2013-09-18 00:00:00,3060903.2013.9.18,,18,,,0,7.5,,,,0,0,,16,0,5
-117.86666666666666,53.35,AB,3060903,,,0,,,BRULE BLACK CAT,8.5,,,,9,,,,2013,2013-09-19 00:00:00,3060903.2013.9.19,,19,,,0,9.5,,,,0,0,,19.5,0,-2.5
-117.86666666666666,53.35,AB,3060903,,,0,,,BRULE BLACK CAT,12,,,,9,,,,2013,2013-09-20 00:00:00,3060903.2013.9.20,,20,,,0,6,,,,0,0,,23.5,0,0.5
-117.86666666666666,53.35,AB,3060903,,,0,,,BRULE BLACK CAT,9.8,,,,9,,,,2013,2013-09-21 00:00:00,3060903.2013.9.21,,21,,,0,8.2,,,,0,0,,17,0,2.5
-117.86666666666666,53.35,AB,3060903,M,M,0,,,BRULE BLACK CAT,,,,,9,,,,2013,2013-09-22 00:00:00,3060903.2013.9.22,M,22,,,,,,M,,,,,,,1.5
